Lat,Long,Vp,Vs,Rho
-88.0,-154.0,6.8551899999999995,3.87652,2892.34
-88.0,-153.0,6.85477,3.8762,2892.18
-88.0,-152.0,6.89571,3.89931,2909.45
-88.0,-151.0,6.87257,3.88612,2899.7
-88.0,-150.0,6.84943,3.8729299999999998,2889.95
-88.0,-149.0,6.82629,3.85974,2880.2
-88.0,-148.0,6.80314,3.84655,2870.44
-88.0,-147.0,6.78,3.8333600000000003,2860.69
-88.0,-146.0,6.75686,3.82016,2850.94
-88.0,-145.0,6.73372,3.8069699999999997,2841.19
-88.0,-144.0,6.71058,3.7937800000000004,2831.43
-88.0,-143.0,6.68744,3.78059,2821.68
-88.0,-142.0,6.66429,3.7674000000000003,2811.93
-88.0,-141.0,6.64115,3.75421,2802.18
-88.0,-140.0,6.61801,3.74102,2792.42
-88.0,-139.0,6.59487,3.72783,2782.67
-88.0,-138.0,6.57173,3.7146399999999997,2772.92
-88.0,-137.0,6.54859,3.70145,2763.17
-88.0,-136.0,6.52544,3.68826,2753.41
-88.0,-135.0,6.57313,3.71911,2774.27
-88.0,-134.0,6.57511,3.72153,2775.38
-88.0,-133.0,6.57709,3.72396,2776.48
-88.0,-132.0,6.57907,3.72639,2777.58
-88.0,-131.0,6.58104,3.7288099999999997,2778.69
-88.0,-130.0,6.58302,3.7312399999999997,2779.79
-88.0,-129.0,6.585,3.73367,2780.89
-88.0,-128.0,6.58697,3.7361,2782.0
-88.0,-127.0,6.58895,3.73852,2783.1
-88.0,-126.0,6.59093,3.7409499999999998,2784.2
-88.0,-125.0,6.59291,3.74338,2785.3
-88.0,-124.0,6.59488,3.7458,2786.41
-88.0,-123.0,6.5968599999999995,3.74823,2787.51
-88.0,-122.0,6.59884,3.75066,2788.61
-88.0,-121.0,6.60081,3.7530900000000003,2789.72
-88.0,-120.0,6.60279,3.75551,2790.82
-88.0,-119.0,6.60477,3.75794,2791.92
-88.0,-118.0,6.60675,3.76037,2793.03
-88.0,-117.0,6.60872,3.76279,2794.13
-88.0,-116.0,6.6107,3.76522,2795.23
-88.0,-115.0,6.61268,3.76765,2796.34
-88.0,-114.0,6.611770000000001,3.7744,2796.27
-88.0,-113.0,6.6143,3.776,2797.6
-88.0,-112.0,6.61683,3.77759,2798.93
-88.0,-111.0,6.6193599999999995,3.7791900000000003,2800.25
-88.0,-110.0,6.621899999999999,3.78078,2801.58
-88.0,-109.0,6.62443,3.7823800000000003,2802.91
-88.0,-108.0,6.62696,3.7839699999999996,2804.24
-88.0,-107.0,6.63068,3.78594,2805.55
-88.0,-106.0,6.634399999999999,3.7879099999999997,2806.85
-88.0,-105.0,6.63812,3.78988,2808.16
-88.0,-104.0,6.64184,3.7918499999999997,2809.47
-88.0,-103.0,6.645560000000001,3.79382,2810.77
-88.0,-102.0,6.64928,3.7957899999999998,2812.08
-88.0,-101.0,6.64478,3.7934,2810.5
-88.0,-100.0,6.64717,3.79467,2811.34
-88.0,-99.0,6.64956,3.79593,2812.18
-88.0,-98.0,6.65195,3.7971999999999997,2813.02
-88.0,-97.0,6.65435,3.79847,2813.86
-88.0,-96.0,6.65674,3.79974,2814.7
-88.0,-95.0,6.65913,3.801,2815.54
-88.0,-94.0,6.66152,3.80227,2816.38
-88.0,-93.0,6.66391,3.80354,2817.22
-88.0,-92.0,6.66631,3.8048,2818.06
-88.0,-91.0,6.668699999999999,3.80607,2818.9
-88.0,-90.0,6.67109,3.80734,2819.74
-88.0,-89.0,6.67348,3.8085999999999998,2820.58
-88.0,-88.0,6.67588,3.80987,2821.42
-88.0,-87.0,6.67827,3.81114,2822.26
-88.0,-86.0,6.68066,3.8124000000000002,2823.1
-88.0,-85.0,6.683050000000001,3.81367,2823.94
-88.0,-84.0,6.6854499999999994,3.81494,2824.78
-88.0,-83.0,6.6878400000000005,3.8162,2825.62
-88.0,-82.0,6.69023,3.8174699999999997,2826.46
-88.0,-81.0,6.69262,3.8187399999999996,2827.3
-88.0,-80.0,6.721430000000001,3.83463,2838.69
-88.0,-79.0,6.70931,3.8278600000000003,2833.74
-88.0,-78.0,6.69719,3.8210900000000003,2828.78
-88.0,-77.0,6.68506,3.8143200000000004,2823.82
-88.0,-76.0,6.67294,3.80755,2818.86
-88.0,-75.0,6.660819999999999,3.80078,2813.9
-88.0,-74.0,6.6487,3.79401,2808.94
-88.0,-73.0,6.63658,3.7872399999999997,2803.98
-88.0,-72.0,6.6244499999999995,3.7804699999999998,2799.02
-88.0,-71.0,6.61233,3.7737,2794.06
-88.0,-70.0,6.60021,3.76693,2789.1
-88.0,-69.0,6.58809,3.76016,2784.15
-88.0,-68.0,6.57597,3.75339,2779.19
-88.0,-67.0,6.56384,3.74662,2774.23
-88.0,-66.0,6.55172,3.73985,2769.27
-88.0,-65.0,6.5396,3.7330799999999997,2764.31
-88.0,-64.0,6.52748,3.72631,2759.35
-88.0,-63.0,6.56913,3.74993,2776.96
-88.0,-62.0,6.57608,3.75394,2780.01
-88.0,-61.0,6.58303,3.7579499999999997,2783.06
-88.0,-60.0,6.58998,3.76196,2786.1
-88.0,-59.0,6.59693,3.76596,2789.15
-88.0,-58.0,6.60388,3.76997,2792.19
-88.0,-57.0,6.61083,3.77398,2795.24
-88.0,-56.0,6.61778,3.77799,2798.29
-88.0,-55.0,6.62472,3.78199,2801.33
-88.0,-54.0,6.63167,3.786,2804.38
-88.0,-53.0,6.6386199999999995,3.79001,2807.42
-88.0,-52.0,6.645569999999999,3.79402,2810.47
-88.0,-51.0,6.652520000000001,3.79802,2813.51
-88.0,-50.0,6.659470000000001,3.8020300000000002,2816.56
-88.0,-49.0,6.6664200000000005,3.80604,2819.61
-88.0,-48.0,6.67337,3.8100500000000004,2822.65
-88.0,-47.0,6.68032,3.8140500000000004,2825.7
-88.0,-46.0,6.68726,3.81806,2828.74
-88.0,-45.0,6.69421,3.82207,2831.79
-88.0,-44.0,6.70116,3.82608,2834.84
-88.0,-43.0,6.70811,3.8300799999999997,2837.88
-88.0,-42.0,6.68454,3.81656,2827.74
-88.0,-41.0,6.69736,3.82394,2833.32
-88.0,-40.0,6.71018,3.8313200000000003,2838.91
-88.0,-39.0,6.723,3.8387,2844.49
-88.0,-38.0,6.7358199999999995,3.8460799999999997,2850.07
-88.0,-37.0,6.74864,3.85346,2855.66
-88.0,-36.0,6.7614600000000005,3.86084,2861.24
-88.0,-35.0,6.76521,3.8630500000000003,2862.99
-88.0,-34.0,6.76896,3.86525,2864.75
-88.0,-33.0,6.77271,3.86746,2866.51
-88.0,-32.0,6.77646,3.8696599999999997,2868.26
-88.0,-31.0,6.78021,3.87187,2870.02
-88.0,-30.0,6.78396,3.87407,2871.77
-88.0,-29.0,6.794770000000001,3.8799099999999997,2875.47
-88.0,-28.0,6.79966,3.88271,2877.54
-88.0,-27.0,6.80455,3.8855,2879.61
